sample-id,absolute-filepath,direction
sar166,$PWD/Reads/sar166-2018_S152_L001_R1_001.fastq.gz,forward
sar166,$PWD/Reads/sar166-2018_S152_L001_R2_001.fastq.gz,reverse
sar170,$PWD/Reads/sar170-2018_S28_L001_R1_001.fastq.gz,forward
sar170,$PWD/Reads/sar170-2018_S28_L001_R2_001.fastq.gz,reverse
sar174,$PWD/Reads/sar174-2018_S32_L001_R1_001.fastq.gz,forward
sar174,$PWD/Reads/sar174-2018_S32_L001_R2_001.fastq.gz,reverse
sar178,$PWD/Reads/sar178-2018_S153_L001_R1_001.fastq.gz,forward
sar178,$PWD/Reads/sar178-2018_S153_L001_R2_001.fastq.gz,reverse
sar182,$PWD/Reads/sar182-2018_S39_L001_R1_001.fastq.gz,forward
sar182,$PWD/Reads/sar182-2018_S39_L001_R2_001.fastq.gz,reverse
sar186,$PWD/Reads/sar186-2018_S43_L001_R1_001.fastq.gz,forward
sar186,$PWD/Reads/sar186-2018_S43_L001_R2_001.fastq.gz,reverse
